Word,Count
the,1600
i,1426
you,1331
to,1276
it,799
a,796
we,726
s,715
of,640
and,584
that,578
is,512
t,425
in,404
captain,391
are,357
have,356
be,345
on,328
this,316
re,296
your,296
can,264
me,262
they,261
what,261
not,260
my,255
for,251
no,220
do,214
if,212
m,211
there,208
but,207
us,203
will,201
was,191
out,178
so,178
here,169
with,160
get,159
as,158
our,156
all,156
ll,149
know,149
don,146
how,142
at,142
now,139
ve,136
one,135
them,134
an,129
her,128
she,124
from,121
like,117
need,113
just,109
could,108
commander,105
would,100
way,99
let,95
when,95
time,94
think,92
about,89
ship,88
aye,87
well,86
up,85
has,85
back,82
did,78
their,77
why,75
go,75
right,74
should,73
burnham,72
by,72
into,69
down,68
any,68
been,68
federation,68
yes,68
klingon,68
tell,67
saru,67
see,66
take,66
were,66
alert,65
shields,65
michael,64
zora,64
make,63
then,63
life,62
or,62
want,61
must,61
more,60
good,60
gonna,60
come,58
where,58
starfleet,57
may,57
something,56
thank,56
ten,55
much,54
okay,54
had,53
am,52
never,50
er,50
lost,49
first,49
tilly,49
d,48
find,48
long,47
oh,47
discovery,47
president,47
years,46
some,46
klingons,46
sir,45
two,44
really,44
course,44
its,44
still,44
sorry,44
dma,44
over,43
say,43
mission,43
mister,43
understand,43
only,43
same,43
even,42
too,42
because,42
through,41
lieutenant,41
crew,41
kind,41
computer,41
who,41
detmer,41
other,41
stamets,41
owosekun,41
nothing,40
help,40
j,40
vini,40
won,39
ready,39
minutes,38
those,38
got,38
another,37
these,37
home,37
shuttle,37
beam,37
please,37
black,37
pattern,37
seconds,36
going,36
order,36
than,36
sure,35
field,35
six,34
thing,34
war,34
power,34
scans,33
data,33
both,33
said,33
great,33
didn,33
doing,33
bridge,32
maybe,32
stop,32
people,32
show,32
admiral,32
percent,32
work,32
found,31
before,31
universe,31
believe,31
until,30
number,30
keep,30
done,30
everything,30
whatever,30
use,30
again,30
bring,30
c,30
very,29
able,29
enough,29
off,29
deck,29
open,29
warp,29
mean,29
drive,29
safe,29
made,28
contact,28
system,28
always,28
leave,28
look,28
matter,28
book,28
cannot,28
vulcan,27
light,27
report,27
georgiou,26
own,26
five,26
hit,26
containment,26
getting,26
path,26
species,25
general,25
thought,25
away,25
earth,25
space,25
000,25
three,25
warning,25
anything,25
station,25
talk,25
hull,25
systems,25
dilithium,25
barrier,25
trust,24
doesn,24
around,24
four,24
move,24
stay,24
feel,24
orb,24
madam,24
live,23
command,23
die,23
metres,23
signal,23
hope,23
working,23
give,23
jump,23
inside,23
without,22
second,22
try,22
might,22
day,22
yet,22
idea,21
which,21
little,21
myself,21
officer,21
trying,21
reach,21
love,21
hey,20
point,20
shenzhou,20
seen,20
between,20
afraid,20
confirmed,20
qo,20
nos,20
seems,20
sensors,20
many,20
coming,20
after,20
mother,20
spore,20
cause,20
figure,20
coordinates,20
left,20
planet,20
ni,20
var,20
hyperfield,20
comes,19
last,19
set,19
ever,19
put,19
new,19
empire,19
against,19
gravitational,19
already,19
qowat,19
milat,19
unless,18
seven,18
call,18
someone,18
being,18
hold,18
most,18
longer,18
close,18
choose,18
moment,18
lorca,18
everyone,18
also,18
within,18
possible,17
destroyed,17
dead,17
hear,17
less,17
united,17
engineering,17
message,17
status,17
ago,17
death,17
energy,17
feeling,17
terran,17
fear,17
wanted,17
isn,16
such,16
zone,16
lock,16
means,16
best,16
closer,16
control,16
philippa,16
every,16
subspace,16
leaving,16
came,16
yeah,16
today,16
each,16
moon,16
emperor,16
mom,16
stand,15
range,15
once,15
object,15
surface,15
better,15
sarek,15
maximum,15
bay,15
threat,15
immediately,15
vessel,15
start,15
join,15
prepare,15
told,15
complete,15
wrong,15
glad,15
used,15
lot,15
happen,15
actually,15
makes,15
else,15
end,15
using,15
emotions,15
peace,14
transport,14
moving,14
hard,14
yours,14
mark,14
communication,14
hello,14
response,14
soon,14
homeworld,14
red,14
wait,14
went,14
does,14
plan,14
save,14
doctor,14
kuvma,14
cell,14
door,14
place,14
fast,14
yourself,14
past,14
appreciate,14
looking,14
signs,14
different,14
while,14
follow,13
turn,13
under,13
easy,13
ensign,13
almost,13
nominal,13
remember,13
meant,13
15,13
correct,13
happened,13
vulcans,13
lives,13
ships,13
known,13
brig,13
mind,13
based,13
care,13
couldn,13
name,13
hell,13
things,13
gave,13
reason,13
experience,13
bad,13
yellow,13
mudd,13
approaching,13
aren,13
beyond,13
happening,13
freedom,13
booker,13
hydrocarbons,13
change,12
escape,12
damage,12
blast,12
choice,12
nine,12
eight,12
distance,12
word,12
fire,12
honour,12
human,12
attack,12
send,12
outside,12
talking,12
haven,12
blood,12
massive,12
breach,12
aboard,12
taking,12
stations,12
either,12
kill,12
read,12
atmosphere,12
days,12
pull,12
20,12
destroy,12
anomaly,12
safely,12
team,12
nilsson,12
rina,12
given,12
tarka,12
plasma,12
galactic,12
dust,11
planets,11
future,11
took,11
kilometres,11
wouldn,11
risk,11
unknown,11
green,11
support,11
debris,11
1,11
proximity,11
emergency,11
itself,11
respect,11
serve,11
weapons,11
brought,11
room,11
technology,11
personnel,11
knew,11
safety,11
problem,11
killed,11
house,11
accept,11
signature,11
position,11
holding,11
specialist,11
voice,11
actions,11
analysis,11
strength,11
board,11
alone,11
rhys,11
thousand,10
break,10
far,10
star,10
heading,10
exactly,10
edge,10
face,10
commencing,10
lights,10
pressure,10
understood,10
watch,10
old,10
seeing,10
nice,10
attacked,10
needs,10
target,10
battle,10
weapon,10
imminent,10
near,10
behind,10
decks,10
negative,10
full,10
heard,10
scan,10
device,10
information,10
focus,10
tyler,10
otherwise,10
daughter,10
protect,10
large,10
started,10
drone,10
dot,10
ask,10
forward,10
dots,10
big,10
structure,10
few,10
created,10
buffer,10
controller,10
says,9
making,9
clear,9
chance,9
case,9
finish,9
science,9
2,9
thoughts,9
cut,9
copy,9
above,9
check,9
screen,9
vessels,9
channel,9
success,9
together,9
emotional,9
shield,9
protocol,9
protocols,9
approximately,9
chair,9
friend,9
wasn,9
classified,9
everybody,9
run,9
world,9
logic,9
dangerous,9
father,9
child,9
creature,9
god,9
free,9
truth,9
critical,9
running,9
universal,9
neither,9
least,9
cloak,9
engines,9
became,9
saying,9
offer,9
starbase,9
game,9
worlds,9
losing,9
per,9
cloud,9
news,9
gas,9
parameters,9
grave,9
taught,8
map,8
hours,8
radiation,8
phaser,8
having,8
learn,8
uss,8
hole,8
tech,8
directly,8
happy,8
30,8
closing,8
impossible,8
presence,8
sort,8
sign,8
hang,8
recent,8
sickbay,8
hundred,8
absolutely,8
language,8
logical,8
rate,8
apologise,8
history,8
welcome,8
sometimes,8
high,8
denied,8
request,8
seem,8
pilot,8
roommate,8
met,8
normal,8
next,8
cancel,8
sent,8
night,8
helped,8
shouldn,8
job,8
speak,8
perhaps,8
personality,8
crazy,8
return,8
side,8
worry,8
speed,8
non,8
kelpien,8
engine,8
agree,8
grew,8
mycelial,8
solution,8
person,8
100,8
hmm,8
lead,8
require,8
party,8
ahead,8
guilt,8
ev,8
search,8
answers,8
tracker,8
sit,8
abronians,8
family,8
christopher,8
rift,8
decision,8
communicate,8
convey,8
storm,7
faith,7
small,7
though,7
likely,7
culture,7
3,7
despite,7
attention,7
officers,7
necessary,7
accretion,7
final,7
air,7
12,7
wish,7
purpose,7
scanning,7
database,7
location,7
medical,7
pulse,7
established,7
during,7
head,7
failure,7
whose,7
huh,7
security,7
repair,7
responding,7
unable,7
cadet,7
supposed,7
suits,7
highly,7
none,7
quite,7
words,7
firing,7
win,7
heart,7
alien,7
gravity,7
online,7
multiple,7
phasers,7
levels,7
since,7
taken,7
access,7
source,7
fight,7
ways,7
activated,7
sending,7
rest,7
ourselves,7
gone,7
certain,7
culber,7
danger,7
reading,7
entire,7
launch,7
gabriel,7
proof,7
exchange,7
sense,7
alive,7
stronger,7
possibly,7
connection,7
bomb,7
detonator,7
plus,7
feels,7
lucky,7
lose,7
repeat,7
math,7
present,7
integrity,7
context,7
sister,7
agreed,7
choices,7
committee,7
17,6
powers,6
7,6
level,6
5,6
pick,6
signatures,6
form,6
bearing,6
sensor,6
image,6
hoping,6
realise,6
oxygen,6
filters,6
0,6
kilometers,6
line,6
difficult,6
wow,6
design,6
offline,6
tractor,6
twenty,6
survivors,6
spectrum,6
engaged,6
reached,6
happens,6
soldier,6
granted,6
frequency,6
powered,6
crossed,6
appears,6
attempting,6
duty,6
activate,6
evacuation,6
ethical,6
state,6
prisoner,6
circumstances,6
distress,6
physical,6
carry,6
training,6
asked,6
front,6
special,6
built,6
hi,6
nervous,6
weren,6
pretty,6
prison,6
parents,6
real,6
suit,6
shut,6
targets,6
torpedoes,6
shipwide,6
lord,6
locked,6
identity,6
leadership,6
feelings,6
pain,6
half,6
fine,6
step,6
capable,6
worth,6
expected,6
bumpy,6
belonged,6
deserve,6
flesh,6
anyone,6
defiant,6
member,6
arrived,6
difference,6
supply,6
wave,6
nearly,6
determine,6
however,6
truly,6
organic,6
allow,6
personal,6
21,6
experienced,6
giving,6
asking,6
mmm,6
respond,6
themselves,6
question,6
continue,6
onto,6
degrees,6
adira,6
conn,6
ma,6
artificial,6
excuse,6
sisters,6
robbers,6
protective,6
shielding,6
deployed,6
issue,6
compromise,6
provide,6
impulse,6
external,6
gray,6
travel,6
boronite,6
looks,6
hydrocarbon,6
giant,6
carbon,6
whole,5
fact,5
22,5
89,5
nearby,5
remain,5
ice,5
goes,5
fix,5
scattering,5
ability,5
hiding,5
void,5
active,5
fun,5
centuries,5
land,5
transporter,5
political,5
houses,5
option,5
gant,5
targeting,5
fixed,5
cloaking,5
twelve,5
colony,5
somebody,5
calling,5
kidding,5
requires,5
diplomatic,5
pose,5
account,5
execute,5
action,5
thinking,5
thousands,5
act,5
earned,5
centre,5
gets,5
humans,5
entered,5
suggests,5
across,5
propose,5
fifteen,5
compromised,5
thrusters,5
hands,5
saving,5
believed,5
avoid,5
humanity,5
loss,5
important,5
others,5
organism,5
autopilot,5
malfunction,5
sylvia,5
bed,5
sotto,5
mutineer,5
assigned,5
reaction,5
mirror,5
smart,5
testament,5
birds,5
located,5
engaging,5
activity,5
aggression,5
crystal,5
probably,5
tardigrade,5
true,5
galaxy,5
process,5
incoming,5
share,5
consider,5
destination,5
straight,5
wake,5
sleep,5
starships,5
intruder,5
overload,5
60,5
effects,5
wonder,5
interference,5
guard,5
tried,5
drop,5
company,5
woman,5
proceed,5
extreme,5
core,5
isik,5
terrans,5
definitely,5
minute,5
imperial,5
quarters,5
ash,5
justice,5
miss,5
throne,5
strong,5
universes,5
successful,5
cultures,5
rules,5
penetrate,5
controls,5
explain,5
evidence,5
override,5
killing,5
answer,5
guest,5
law,5
assured,5
maintain,5
plans,5
middle,5
desperate,5
times,5
century,5
dealing,5
quickly,5
rillak,5
bet,5
dark,5
kwejian,5
mass,5
promise,5
oath,5
reasons,5
emotion,5
willing,5
scared,5
records,5
comms,5
bryce,5
4,5
area,5
cortez,5
ndoye,5
intent,5
identical,5
molecule,5
reno,5
water,4
doubt,4
13,4
trapped,4
eye,4
talked,4
returning,4
stuck,4
reveal,4
circle,4
called,4
relays,4
communications,4
whom,4
born,4
instead,4
worried,4
relay,4
reputation,4
connor,4
navigate,4
flyby,4
airlock,4
depressurisation,4
collection,4
nitrogen,4
saturation,4
clock,4
automatic,4
acknowledge,4
unit,4
internal,4
58,4
clearly,4
metal,4
discern,4
runs,4
pupil,4
upon,4
terror,4
unacceptable,4
query,4
program,4
serious,4
diplomat,4
adjusting,4
dispersal,4
permission,4
authorisation,4
paths,4
intention,4
challenge,4
simulation,4
hunch,4
confident,4
coincidence,4
superior,4
6,4
major,4
aft,4
hot,4
reverse,4
steps,4
speculation,4
corridor,4
survival,4
approve,4
worker,4
bee,4
chose,4
drain,4
freeze,4
guess,4
snoring,4
female,4
breath,4
yesterday,4
fully,4
navigational,4
scary,4
scanned,4
leads,4
biology,4
patterns,4
pen,4
explosion,4
business,4
interesting,4
gives,4
class,4
contains,4
interface,4
aus,4
environment,4
ends,4
enterprise,4
juice,4
ratio,4
add,4
salsa,4
listen,4
damn,4
deal,4
faint,4
hid,4
disable,4
hailing,4
isolate,4
individual,4
registering,4
understanding,4
scream,4
monitor,4
pass,4
humanely,4
part,4
delivered,4
cage,4
waves,4
ride,4
experiencing,4
slow,4
regret,4
jumping,4
ended,4
hurt,4
somewhere,4
strange,4
40,4
terrified,4
project,4
constant,4
knife,4
treat,4
guilty,4
sentence,4
tactical,4
prep,4
generous,4
escaped,4
grown,4
soft,4
piece,4
loved,4
equality,4
ideals,4
apart,4
guidance,4
abort,4
simulations,4
protecting,4
situation,4
versions,4
network,4
fitting,4
heat,4
cornwell,4
children,4
knowledge,4
complicated,4
protection,4
current,4
territory,4
fate,4
hasn,4
passed,4
defeat,4
cells,4
suppose,4
dormant,4
felt,4
chart,4
recently,4
armada,4
fighting,4
landing,4
aware,4
surveys,4
enter,4
hungry,4
stays,4
alike,4
civilisation,4
dropping,4
chase,4
flight,4
simultaneously,4
velocity,4
distortion,4
match,4
tal,4
methane,4
extend,4
shot,4
radius,4
databases,4
telling,4
conduct,4
generators,4
port,4
structural,4
16,4
trajectory,4
several,4
allowed,4
respected,4
comfort,4
stun,4
unarmed,4
cavity,4
forfeit,4
mausoleum,4
unlikely,4
sword,4
operating,4
joint,4
fan,4
deep,4
concentration,4
cocoons,4
bait,4
repairs,4
sleeping,4
latinum,4
community,4
suffering,4
sector,4
recognise,4
surprise,4
meditation,4
citizen,4
block,4
pips,4
planned,4
sphere,4
wormhole,4
impact,4
development,4
defined,4
compounds,4
whoever,4
receiving,4
input,4
visuals,4
camera,4
sounds,4
eaten,4
9,4
25,4
direction,4
prior,4
rapidly,4
fields,4
stopped,4
disagree,4
particles,4
failing,4
song,4
decided,4
assemble,4
advanced,4
cultural,4
bursts,4
grudge,4
disco,4
disruption,4
surge,4
plot,4
grid,4
spike,4
settings,4
arrive,4
greater,4
citizens,4
helping,4
meeting,4
somehow,4
solar,4
changes,4
wall,4
3d,4
obvious,4
interrupter,4
gravimetric,4
egg,3
ambient,3
accident,3
burst,3
setting,3
lines,3
imagine,3
significantly,3
lived,3
fit,3
stardate,3
asteroid,3
risks,3
optimistic,3
humbling,3
express,3
malicious,3
sends,3
note,3
date,3
amount,3
translate,3
thruster,3
discover,3
explore,3
colleague,3
sequence,3
01,3
correction,3
blind,3
describe,3
appearance,3
construction,3
practical,3
remotely,3
shame,3
raid,3
therapy,3
terminated,3
phase,3
mode,3
unlike,3
hostile,3
race,3
civilisations,3
backup,3
appear,3
mistake,3
twice,3
relations,3
fired,3
violence,3
further,3
privacy,3
neck,3
belay,3
congratulations,3
hardly,3
learning,3
analogy,3
due,3
standards,3
allows,3
record,3
justified,3
assure,3
council,3
endangered,3
blow,3
comm,3
evacuate,3
bolster,3
self,3
ops,3
implement,3
fails,3
affirmative,3
shock,3
sized,3
rapid,3
scale,3
deliver,3
forget,3
energise,3
section,3
doors,3
relax,3
tether,3
starship,3
keyla,3
decide,3
briefed,3
synthesis,3
paul,3
kid,3
friends,3
intended,3
armed,3
jammed,3
shower,3
ganglia,3
scanners,3
confirm,3
prey,3
onboard,3
lies,3
build,3
monster,3
judge,3
single,3
except,3
defence,3
standing,3
type,3
micro,3
motives,3
sedation,3
seal,3
sudden,3
fleet,3
blame,3
initiating,3
watched,3
incredible,3
become,3
increasingly,3
concern,3
highest,3
barely,3
detected,3
institute,3
initiate,3
transfer,3
million,3
59,3
counting,3
breakfast,3
track,3
extra,3
worked,3
raised,3
neural,3
week,3
tea,3
redundant,3
immediate,3
music,3
event,3
reset,3
pay,3
according,3
sentient,3
beings,3
powerful,3
currently,3
suspect,3
electromagnetic,3
keeping,3
uplink,3
legs,3
shortly,3
sitting,3
navigation,3
acceptable,3
rebels,3
quantum,3
completely,3
klingonaase,3
alliance,3
manifest,3
inform,3
sovereign,3
hereby,3
deserves,3
photon,3
analysed,3
apologies,3
gift,3
spent,3
food,3
harlak,3
lying,3
hand,3
showing,3
mercy,3
cross,3
cooperation,3
millennia,3
abandon,3
sanctuary,3
ran,3
legitimate,3
buy,3
slave,3
remaining,3
pi,3
breaking,3
invisible,3
burning,3
antimatter,3
carried,3
resulting,3
research,3
attacks,3
former,3
questions,3
arrival,3
asylum,3
held,3
ghor,3
slaughter,3
preserve,3
seeks,3
harm,3
wished,3
series,3
harvest,3
requested,3
letting,3
inhospitable,3
referring,3
beautiful,3
indeed,3
expose,3
desperation,3
eve,3
hits,3
rock,3
identify,3
unfortunately,3
mapping,3
orions,3
ours,3
distractions,3
shit,3
hydro,3
detonate,3
vaporised,3
fill,3
along,3
occurred,3
chances,3
hunted,3
mention,3
alternative,3
young,3
burn,3
satellites,3
array,3
cadets,3
promotion,3
joining,3
standard,3
apply,3
slight,3
45,3
calculate,3
hundreds,3
analysing,3
lie,3
surrounding,3
size,3
weird,3
filter,3
observation,3
outer,3
herself,3
14,3
ones,3
finished,3
absolute,3
candor,3
owe,3
uninhabited,3
often,3
rendering,3
cryostasis,3
taglonen,3
behalf,3
witness,3
kept,3
particular,3
painful,3
allowing,3
illogical,3
organisation,3
moved,3
teach,3
eyes,3
listening,3
sufficient,3
assume,3
reference,3
natural,3
advocate,3
model,3
feed,3
saved,3
empathy,3
speaking,3
evolution,3
starboard,3
flare,3
reaches,3
required,3
play,3
deeper,3
encountered,3
considered,3
options,3
programmable,3
extragalactic,3
replicator,3
fail,3
shape,3
responsible,3
represented,3
isolytic,3
stellar,3
task,3
haz,3
bidder,3
stability,3
translators,3
zero,3
layers,3
ah,3
unusual,3
significant,3
samples,3
assist,3
prisoners,3
membrane,3
sadness,3
exact,3
molecules,3
atomic,3
equals,3
billions,3
link,3
technically,2
crashing,2
estimate,2
extinction,2
survived,2
drilling,2
dried,2
table,2
steer,2
corrected,2
ye,2
rifle,2
bedrock,2
faster,2
walk,2
naked,2
wise,2
village,2
served,2
grateful,2
walking,2
scenario,2
desert,2
xenoanthropologist,2
natives,2
footprints,2
walked,2
log,2
caused,2
binary,2
reminder,2
chief,2
indications,2
hygiene,2
exemplary,2
agreement,2
sarcasm,2
358,2
269,2
roughly,2
150,2
tucked,2
disk,2
below,2
confounding,2
prefer,2
speculate,2
speculating,2
maneuverable,2
ring,2
opportunity,2
variables,2
minimum,2
irresponsible,2
reconnaissance,2
confirming,2
directional,2
thrust,2
saucer,2
realignment,2
prelaunch,2
checks,2
flow,2
module,2
enable,2
igniter,2
ignition,2
boost,2
implementing,2
plenty,2
peek,2
outermost,2
sculptures,2
crystallized,2
spirituality,2
headlamp,2
constructed,2
carved,2
effectively,2
precise,2
stone,2
exoskeleton,2
alloy,2
incredibly,2
intricate,2
short,2
astounding,2
sublime,2
triggered,2
motion,2
exhibit,2
symptoms,2
acute,2
syndrome,2
social,2
rests,2
inviolable,2
dynamic,2
unwelcoming,2
duration,2
outpost,2
doctari,2
alpha,2
paused,2
incomplete,2
binaries,2
kicking,2
qes,2
helmet,2
cam,2
corrupted,2
destroying,2
disengage,2
cannon,2
stat,2
januzzi,2
encoded,2
blocking,2
emitter,2
orientation,2
minimise,2
notice,2
relevant,2
dedicated,2
222aa7,2
voiceprint,2
authorise,2
inevitable,2
remind,2
wildly,2
outgunned,2
240,2
h,2
atoria,2
formal,2
whenever,2
balling,2
fists,2
dissuade,2
dragged,2
dare,2
insubordination,2
destabilise,2
underestimate,2
overseen,2
exercises,2
screams,2
funerals,2
shooting,2
innocent,2
period,2
commitment,2
injured,2
victims,2
imaginary,2
attend,2
academy,2
rejoins,2
expeditionary,2
group,2
unexpected,2
memories,2
platitudes,2
confidence,2
functional,2
hesitation,2
consists,2
24,2
unify,2
shipmates,2
violated,2
chain,2
relieved,2
remand,2
badly,2
confined,2
panel,2
diverting,2
main,2
warship,2
peeled,2
unforgettable,2
occur,2
circumstance,2
engage,2
undamaged,2
pressurised,2
result,2
metre,2
depressurization,2
shoot,2
inhibited,2
ethically,2
estimated,2
43,2
pieces,2
devious,2
float,2
untethered,2
battlefield,2
trump,2
ego,2
shell,2
convinced,2
principles,2
eighty,2
gs54,2
feeds,2
electricity,2
feeding,2
rid,2
infestation,2
drift,2
whichever,2
disconnected,2
neat,2
letdown,2
instructors,2
advised,2
seriously,2
allergic,2
polyester,2
viscoelastic,2
polyurethane,2
foam,2
results,2
chronic,2
crosses,2
named,2
mickey,2
approachable,2
seats,2
impression,2
character,2
flaw,2
hates,2
dozen,2
shadows,2
hack,2
rank,2
cleared,2
someday,2
regarded,2
foster,2
son,2
learned,2
adhere,2
convict,2
clean,2
slate,2
ping,2
clothed,2
trip,2
depot,2
extraneous,2
till,2
offset,2
vectors,2
indicate,2
diet,2
foraging,2
vegetation,2
passive,2
obtaining,2
nutrition,2
excess,2
cavitation,2
initiated,2
helps,2
broadcasting,2
pressurisation,2
processor,2
shall,2
corvan,2
curiosity,2
converging,2
advises,2
stuff,2
criticising,2
hair,2
tame,2
prime,2
asset,2
roomie,2
awful,2
